"x","y","sampleID","abundance","occurrences"
42.5,85,218,1,1
57.5,55,219,14,1
147.5,142.5,220,4,1
47.5,5,221,15,1
95,20,222,2,1
150,80,223,3,1
37.5,85,224,7,1
70,60,225,14,1
120,187.5,226,11,1
57.5,140,227,8,1
30,62.5,228,36,1
35,57.5,229,56,1
47.5,150,230,2,1
137.5,105,231,25,1
97.5,12.5,232,18,1
172.5,140,233,3,1
142.5,60,234,3,1
177.5,7.5,235,55,1
187.5,22.5,236,31,1
5,120,237,40,1
70,197.5,238,30,1
85,140,239,7,1
177.5,30,240,44,1
137.5,182.5,241,17,1
107.5,160,242,3,1
110,22.5,243,5,1
80,170,244,25,1
15,97.5,245,38,1
30,120,246,23,1
10,100,247,51,1
192.5,112.5,248,32,1
190,102.5,249,41,1
177.5,152.5,250,23,1
27.5,177.5,251,8,1
167.5,180,252,48,1
12.5,102.5,253,69,1
182.5,180,254,36,1
110,100,255,27,1
132.5,102.5,256,12,1
100,27.5,257,1,1
17.5,182.5,258,8,1
175,107.5,259,55,1
175,55,260,21,1
190,92.5,261,24,1
22.5,127.5,262,21,1
17.5,192.5,263,10,1
80,167.5,264,33,1
12.5,120,265,9,1
95,127.5,266,8,1
45,77.5,267,3,1
197.5,162.5,268,12,1
5,7.5,269,25,1
190,180,270,19,1
167.5,12.5,271,32,1
102.5,85,272,55,1
162.5,22.5,273,17,1
130,117.5,274,43,1
167.5,112.5,275,45,1
72.5,125,276,14,1
180,17.5,277,20,1
50,27.5,278,5,1
32.5,155,279,24,1
82.5,160,280,17,1
110,37.5,281,21,1
15,87.5,282,42,1
2.5,102.5,283,29,1
67.5,40,284,17,1
180,152.5,285,26,1
120,135,286,31,1
35,97.5,287,10,1
7.5,27.5,288,18,1
42.5,172.5,289,20,1
7.5,160,290,7,1
160,57.5,291,23,1
117.5,105,292,33,1
95,85,293,39,1
187.5,80,294,21,1
82.5,10,295,25,1
120,5,296,14,1
67.5,110,297,22,1
142.5,195,298,18,1
162.5,122.5,299,20,1
177.5,185,300,22,1
122.5,155,301,15,1
132.5,20,302,30,1
32.5,102.5,303,13,1
12.5,25,304,16,1
182.5,37.5,305,44,1
162.5,85,306,8,1
157.5,147.5,307,6,1
95,170,308,9,0
177.5,80,309,40,1
130,172.5,310,9,1
82.5,155,311,3,1
5,72.5,312,46,1
87.5,142.5,313,7,1
167.5,117.5,314,12,1
107.5,35,315,9,1
160,160,316,57,1
197.5,20,317,2,1
25,195,318,17,1
165,32.5,319,53,1
42.5,130,320,30,1
35,95,321,21,1
67.5,157.5,322,52,1
57.5,32.5,323,5,1
102.5,67.5,324,25,1
52.5,5,325,12,1
175,155,326,34,1
172.5,37.5,327,47,1
162.5,137.5,328,13,1
140,42.5,329,34,1
120,2.5,330,14,1
162.5,160,331,39,1
155,120,332,5,1
82.5,102.5,333,22,1
172.5,52.5,334,26,1
45,50,335,44,1
37.5,20,336,3,1
182.5,112.5,337,23,1
117.5,130,338,22,1
70,42.5,339,12,1
35,107.5,340,6,1
5,135,341,6,1
95,52.5,342,4,1
72.5,195,343,47,1
72.5,92.5,344,11,1
80,90,345,46,1
185,195,346,24,1
157.5,120,347,7,1
112.5,130,348,43,1
72.5,165,349,14,1
40,150,350,10,1
5,105,351,47,1
115,152.5,352,19,1
70,137.5,353,8,1
90,2.5,354,51,1
95,72.5,355,46,1
67.5,197.5,356,15,1
5,40,357,11,1
112.5,137.5,358,25,1
147.5,180,359,15,1
2.5,65,360,65,1
95,180,361,16,1
82.5,177.5,362,7,1
127.5,172.5,363,10,1
7.5,125,364,13,1
15,80,365,53,1
145,80,366,7,1
35,27.5,367,8,1
5,37.5,368,14,1
127.5,97.5,369,22,1
45,67.5,370,20,1
55,192.5,371,28,1
192.5,82.5,372,29,1
50,82.5,373,4,0
157.5,185,374,43,1
80,52.5,375,11,1
47.5,177.5,376,11,1
185,45,377,15,1
137.5,122.5,378,30,1
37.5,107.5,379,10,1
92.5,125,380,9,1
52.5,82.5,381,1,0
15,187.5,382,2,1
57.5,145,383,8,1
60,15,384,7,1
55,145,385,13,1
55,180,386,31,1
130,85,387,6,1
55,125,388,17,1
45,97.5,389,7,1
185,62.5,390,11,1
175,170,391,44,1
22.5,70,392,64,1
182.5,162.5,393,19,1
75,177.5,394,36,1
112.5,45,395,2,1
2.5,160,396,20,1
195,22.5,397,8,1
25,172.5,398,4,1
50,130,399,3,1
132.5,70,400,2,1
