"ID","x","y"
"Virtual_Species",142.5,157.5
"Virtual_Species",80,142.5
"Virtual_Species",167.5,152.5
"Virtual_Species",120,192.5
"Virtual_Species",45,20
"Virtual_Species",167.5,2.5
"Virtual_Species",185,55
"Virtual_Species",47.5,67.5
"Virtual_Species",162.5,95
"Virtual_Species",82.5,110
"Virtual_Species",95,80
"Virtual_Species",187.5,87.5
"Virtual_Species",57.5,192.5
"Virtual_Species",92.5,135
"Virtual_Species",187.5,32.5
"Virtual_Species",45,62.5
"Virtual_Species",100,45
"Virtual_Species",42.5,135
"Virtual_Species",137.5,32.5
"Virtual_Species",102.5,100
"Virtual_Species",167.5,110
"Virtual_Species",25,112.5
"Virtual_Species",195,130
"Virtual_Species",45,135
"Virtual_Species",72.5,87.5
"Virtual_Species",42.5,77.5
"Virtual_Species",192.5,180
"Virtual_Species",40,160
"Virtual_Species",47.5,175
"Virtual_Species",22.5,12.5
"Virtual_Species",100,192.5
"Virtual_Species",42.5,122.5
"Virtual_Species",80,77.5
"Virtual_Species",167.5,70
"Virtual_Species",135,77.5
"Virtual_Species",10,110
"Virtual_Species",182.5,95
"Virtual_Species",157.5,122.5
"Virtual_Species",10,47.5
"Virtual_Species",185,25
"Virtual_Species",37.5,72.5
"Virtual_Species",157.5,115
"Virtual_Species",5,177.5
"Virtual_Species",97.5,127.5
"Virtual_Species",85,82.5
"Virtual_Species",65,40
"Virtual_Species",90,60
"Virtual_Species",140,7.5
"Virtual_Species",122.5,150
"Virtual_Species",92.5,132.5
"Virtual_Species",185,170
"Virtual_Species",197.5,145
"Virtual_Species",47.5,35
"Virtual_Species",190,112.5
"Virtual_Species",152.5,127.5
"Virtual_Species",122.5,120
"Virtual_Species",55,80
"Virtual_Species",52.5,47.5
"Virtual_Species",65,107.5
"Virtual_Species",105,27.5
"Virtual_Species",122.5,85
"Virtual_Species",152.5,102.5
"Virtual_Species",147.5,85
"Virtual_Species",97.5,97.5
"Virtual_Species",57.5,165
"Virtual_Species",165,97.5
"Virtual_Species",180,185
"Virtual_Species",10,50
"Virtual_Species",120,75
"Virtual_Species",82.5,75
"Virtual_Species",27.5,195
"Virtual_Species",92.5,35
"Virtual_Species",60,40
"Virtual_Species",130,162.5
"Virtual_Species",102.5,142.5
"Virtual_Species",100,95
"Virtual_Species",25,160
"Virtual_Species",35,22.5
"Virtual_Species",5,60
"Virtual_Species",40,35
"Virtual_Species",42.5,85
"Virtual_Species",57.5,55
"Virtual_Species",147.5,142.5
"Virtual_Species",47.5,5
"Virtual_Species",95,20
"Virtual_Species",150,80
"Virtual_Species",37.5,85
"Virtual_Species",70,60
"Virtual_Species",120,187.5
"Virtual_Species",57.5,140
"Virtual_Species",30,62.5
"Virtual_Species",35,57.5
"Virtual_Species",47.5,150
"Virtual_Species",137.5,105
"Virtual_Species",97.5,12.5
"Virtual_Species",172.5,140
"Virtual_Species",142.5,60
"Virtual_Species",177.5,7.5
"Virtual_Species",187.5,22.5
"Virtual_Species",5,120
"Virtual_Species",70,197.5
"Virtual_Species",85,140
"Virtual_Species",177.5,30
"Virtual_Species",137.5,182.5
"Virtual_Species",107.5,160
"Virtual_Species",110,22.5
"Virtual_Species",80,170
"Virtual_Species",15,97.5
"Virtual_Species",30,120
"Virtual_Species",10,100
"Virtual_Species",192.5,112.5
"Virtual_Species",190,102.5
"Virtual_Species",177.5,152.5
"Virtual_Species",27.5,177.5
"Virtual_Species",167.5,180
"Virtual_Species",12.5,102.5
"Virtual_Species",182.5,180
"Virtual_Species",110,100
"Virtual_Species",132.5,102.5
"Virtual_Species",100,27.5
"Virtual_Species",17.5,182.5
"Virtual_Species",175,107.5
"Virtual_Species",175,55
"Virtual_Species",190,92.5
"Virtual_Species",22.5,127.5
"Virtual_Species",17.5,192.5
"Virtual_Species",80,167.5
"Virtual_Species",12.5,120
"Virtual_Species",95,127.5
"Virtual_Species",45,77.5
"Virtual_Species",197.5,162.5
"Virtual_Species",5,7.5
"Virtual_Species",190,180
"Virtual_Species",167.5,12.5
"Virtual_Species",102.5,85
"Virtual_Species",162.5,22.5
"Virtual_Species",130,117.5
"Virtual_Species",167.5,112.5
"Virtual_Species",72.5,125
"Virtual_Species",180,17.5
"Virtual_Species",50,27.5
"Virtual_Species",32.5,155
"Virtual_Species",82.5,160
"Virtual_Species",110,37.5
"Virtual_Species",15,87.5
"Virtual_Species",2.5,102.5
"Virtual_Species",67.5,40
"Virtual_Species",180,152.5
"Virtual_Species",120,135
"Virtual_Species",35,97.5
"Virtual_Species",7.5,27.5
"Virtual_Species",42.5,172.5
"Virtual_Species",7.5,160
"Virtual_Species",160,57.5
"Virtual_Species",117.5,105
"Virtual_Species",95,85
"Virtual_Species",187.5,80
"Virtual_Species",82.5,10
"Virtual_Species",120,5
"Virtual_Species",67.5,110
"Virtual_Species",142.5,195
"Virtual_Species",162.5,122.5
"Virtual_Species",177.5,185
"Virtual_Species",122.5,155
"Virtual_Species",132.5,20
"Virtual_Species",32.5,102.5
"Virtual_Species",12.5,25
"Virtual_Species",182.5,37.5
"Virtual_Species",162.5,85
"Virtual_Species",157.5,147.5
"Virtual_Species",177.5,80
"Virtual_Species",130,172.5
"Virtual_Species",82.5,155
"Virtual_Species",5,72.5
"Virtual_Species",87.5,142.5
"Virtual_Species",167.5,117.5
"Virtual_Species",107.5,35
"Virtual_Species",160,160
"Virtual_Species",197.5,20
"Virtual_Species",25,195
"Virtual_Species",165,32.5
"Virtual_Species",42.5,130
"Virtual_Species",35,95
"Virtual_Species",67.5,157.5
"Virtual_Species",57.5,32.5
"Virtual_Species",102.5,67.5
"Virtual_Species",52.5,5
"Virtual_Species",175,155
"Virtual_Species",172.5,37.5
"Virtual_Species",162.5,137.5
"Virtual_Species",140,42.5
"Virtual_Species",120,2.5
"Virtual_Species",162.5,160
"Virtual_Species",155,120
"Virtual_Species",82.5,102.5
"Virtual_Species",172.5,52.5
"Virtual_Species",45,50
"Virtual_Species",37.5,20
"Virtual_Species",182.5,112.5
"Virtual_Species",117.5,130
"Virtual_Species",70,42.5
"Virtual_Species",35,107.5
"Virtual_Species",5,135
"Virtual_Species",95,52.5
"Virtual_Species",72.5,195
"Virtual_Species",72.5,92.5
"Virtual_Species",80,90
"Virtual_Species",185,195
"Virtual_Species",157.5,120
"Virtual_Species",112.5,130
"Virtual_Species",72.5,165
"Virtual_Species",40,150
"Virtual_Species",5,105
"Virtual_Species",115,152.5
"Virtual_Species",70,137.5
"Virtual_Species",90,2.5
"Virtual_Species",95,72.5
"Virtual_Species",67.5,197.5
"Virtual_Species",5,40
"Virtual_Species",112.5,137.5
"Virtual_Species",147.5,180
"Virtual_Species",2.5,65
"Virtual_Species",95,180
"Virtual_Species",82.5,177.5
"Virtual_Species",127.5,172.5
"Virtual_Species",7.5,125
"Virtual_Species",15,80
"Virtual_Species",145,80
"Virtual_Species",35,27.5
"Virtual_Species",5,37.5
"Virtual_Species",127.5,97.5
"Virtual_Species",45,67.5
"Virtual_Species",55,192.5
"Virtual_Species",192.5,82.5
"Virtual_Species",157.5,185
"Virtual_Species",80,52.5
"Virtual_Species",47.5,177.5
"Virtual_Species",185,45
"Virtual_Species",137.5,122.5
"Virtual_Species",37.5,107.5
"Virtual_Species",92.5,125
"Virtual_Species",15,187.5
"Virtual_Species",57.5,145
"Virtual_Species",60,15
"Virtual_Species",55,145
"Virtual_Species",55,180
"Virtual_Species",130,85
"Virtual_Species",55,125
"Virtual_Species",45,97.5
"Virtual_Species",185,62.5
"Virtual_Species",175,170
"Virtual_Species",22.5,70
"Virtual_Species",182.5,162.5
"Virtual_Species",75,177.5
"Virtual_Species",112.5,45
"Virtual_Species",2.5,160
"Virtual_Species",195,22.5
"Virtual_Species",25,172.5
"Virtual_Species",50,130
"Virtual_Species",132.5,70
